energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,genre
0.6940000000000001,0.42700000000000005,113.78,0.134,0.0153,0.0,4,0.43799999999999994,0,367947,-10.868,0.439,0,audio_features,spotify:track:2Vhk4qfM3dB6utWxnatpFY,
0.534,0.1,145.816,0.0677,0.16399999999999998,0.0,4,0.6679999999999999,1,136248,-6.586,0.711,1,audio_features,spotify:track:6hLkeOMrhZ2CMLBp2of576,dance pop piano rock pop pop rock
0.92,0.358,144.99,0.0574,0.0052899999999999996,0.0,4,0.557,6,180133,-4.575,0.659,1,audio_features,spotify:track:3Xbu82dGGxR6HUbQwINegC,dutch indie dutch pop dutch rock folk-pop
0.311,0.098,89.751,0.0301,0.61,0.0,4,0.5529999999999999,5,238260,-9.357999999999999,0.47200000000000003,1,audio_features,spotify:track:0TczqUZnms3hM62usj464t,dutch indie dutch pop dutch rock folk-pop
0.6609999999999999,0.0909,109.94,0.036000000000000004,0.059000000000000004,0.0,4,0.6890000000000001,11,214427,-6.468,0.34299999999999997,1,audio_features,spotify:track:2DPI5lHpb0wmjaL222fPdF,indiecoustica neo mellow pop pop rock
0.894,0.179,104.993,0.0402,0.0309,2.15e-05,4,0.5870000000000001,0,189507,-4.184,0.81,0,audio_features,spotify:track:3msS7xaelR4Oa0n7IwHkgF,indie pop indie rock modern alternative rock modern rock piano rock pop rock rock stomp and holler
0.7140000000000001,0.447,77.99600000000001,0.0303,0.0225,1.62e-06,4,0.46399999999999997,2,200947,-3.969,0.58,1,audio_features,spotify:track:0kuSx4Cm1q6N6pOmCI9CRY,indie pop indie rock modern alternative rock modern rock piano rock pop rock rock stomp and holler
0.619,0.248,120.022,0.102,0.501,2.1899999999999997e-05,4,0.762,2,219493,-5.227,0.596,0,audio_features,spotify:track:2J4T0IOIZjQhLzosKPR2PN,alternative r&b art pop dance pop electropop indie pop indie poptimism indie r&b indietronica pop vapor soul
0.767,0.11,75.016,0.038,0.317,0.0107,4,0.546,6,227440,-6.5760000000000005,0.38799999999999996,0,audio_features,spotify:track:4fD81QnkQYvhVw0a0ghN4x,acoustic pop chamber pop indie anthem-folk indie folk indie poptimism indiecoustica neo mellow pop rock
0.775,0.0883,119.964,0.0473,0.26899999999999996,0.0,4,0.601,0,190295,-4.612,0.483,1,audio_features,spotify:track:6jreFSOTUAViWjKyzOC4Kg,big room dance pop edm electro house pop progressive electro house progressive house tropical house
0.7290000000000001,0.0928,110.055,0.0573,0.43700000000000006,0.0036899999999999997,4,0.688,4,251029,-6.56,0.469,0,audio_features,spotify:track:7aQeWViSfRWSEwtJD86Eq0,dance pop pop
0.601,0.0821,117.01799999999999,0.0413,0.0355,0.0,4,0.596,11,196333,-4.876,0.613,0,audio_features,spotify:track:3UmBgQiJhbNMmyPVceuH4d,electropop modern alternative rock modern rock pop
0.878,0.336,128.018,0.0485,0.00145,0.344,4,0.547,3,248280,-4.245,0.405,1,audio_features,spotify:track:6fKEplI9iN0JMHsRGQESaT,big room dance pop edm electro house pop tropical house
0.32799999999999996,0.12300000000000001,80.095,0.0353,0.45899999999999996,0.0,4,0.684,11,194880,-5.013,0.466,0,audio_features,spotify:track:3k5PIl6A8QVFxvbFLdW3Wi,indie anthem-folk indie cafe pop indiecoustica
0.743,0.0966,113.96700000000001,0.114,0.0885,0.0,4,0.6940000000000001,9,194573,-5.787000000000001,0.55,0,audio_features,spotify:track:5jpfTcpNgRmnMBOluuGNZB,indie anthem-folk indie cafe pop indiecoustica
0.465,0.166,87.98,0.0615,0.618,1.04e-06,4,0.617,10,221467,-7.361000000000001,0.40399999999999997,1,audio_features,spotify:track:6sUBGw9fl8uljM5z6Hqip7,indie anthem-folk indie cafe pop indiecoustica
0.455,0.107,99.94200000000001,0.12,0.508,0.000213,4,0.457,7,208827,-9.116,0.284,1,audio_features,spotify:track:5j5bQ1TrOO3U6mfysOQAtB,indie anthem-folk indie cafe pop indiecoustica
0.225,0.106,120.006,0.0994,0.902,0.657,4,0.7040000000000001,6,245426,-14.454,0.243,0,audio_features,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,electropop pop
0.899,0.13699999999999998,125.85,0.0458,0.0113,9.65e-05,4,0.55,5,170079,-3.284,0.408,0,audio_features,spotify:track:1nufXiTCTTAeJfO9hLHvO8,big room edm electro house pop edm progressive electro house progressive house progressive trance trance tropical house uplifting trance
0.601,0.0998,132.06,0.0321,0.175,0.0,4,0.585,8,229413,-5.749,0.37200000000000005,0,audio_features,spotify:track:45mnAtRP2f85mEjmRFv6ek,pop
0.741,0.133,105.99700000000001,0.053,0.155,0.0,4,0.7170000000000001,10,186062,-6.645,0.188,0,audio_features,spotify:track:510UgVCpnUaQ5ACHW2J8gu,belgian edm edm pop tropical house
0.467,0.0828,84.846,0.0287,0.48,0.0,4,0.609,0,206928,-6.414,0.249,0,audio_features,spotify:track:51vvmL3kyLhCr5hqy4MbFC,indie anthem-folk
0.619,0.14,137.043,0.0663,0.596,0.0,4,0.665,10,138115,-8.327,0.541,0,audio_features,spotify:track:1TkXApzsz0a6YRArjbqprt,metropopolis modern rock pop pop rock
0.545,0.121,77.39399999999999,0.0374,0.196,9.18e-06,3,0.331,10,210667,-7.962999999999999,0.586,1,audio_features,spotify:track:4O0UPAGXfeAK8vM4OUEBFD,dance pop piano rock pop pop rock
0.713,0.303,61.519,0.0366,0.33,0.0,4,0.359,5,194387,-4.526,0.272,1,audio_features,spotify:track:2iZXMKa6Q4GBngBuRWtUtm,dance pop piano rock pop pop rock
0.664,0.0759,140.059,0.0302,0.452,0.005520000000000001,4,0.705,10,231760,-6.093,0.588,1,audio_features,spotify:track:2UyZTPrWFSMysY9cVVjmaB,dance pop piano rock pop pop rock
0.449,0.045,135.893,0.0611,0.0205,0.0,4,0.597,6,215294,-8.36,0.539,1,audio_features,spotify:track:4JSQYAKvuhgGjzpqoMdoCi,la pop
0.863,0.207,106.03,0.037000000000000005,0.00462,4.77e-05,4,0.5670000000000001,7,214360,-5.1579999999999995,0.722,0,audio_features,spotify:track:12pdXFcruNcPUbZypKUDgz,indie pop indie rock modern alternative rock modern rock piano rock pop rock rock stomp and holler
0.395,0.263,132.975,0.0264,0.792,2e-06,4,0.5920000000000001,0,262853,-6.643,0.384,1,audio_features,spotify:track:1qRjGm49sjk0NntgZMdDzn,
0.726,0.0844,114.99600000000001,0.0552,0.157,0.0,4,0.647,3,198996,-4.388999999999999,0.767,0,audio_features,spotify:track:3M9Apu4OZfylLTFKvgEtKa,big room brostep dance pop dutch edm edm electro house house pop trance tropical house
0.83,0.146,124.95299999999999,0.0521,0.0074,0.0,4,0.588,5,192000,-6.188,0.585,0,audio_features,spotify:track:08rjzQsf8beRbqIZyX3Snw,dance pop edm pop tropical house
0.595,0.0859,74.986,0.0288,0.285,0.0,4,0.626,0,212107,-4.975,0.65,0,audio_features,spotify:track:3mbL70beTjRVn8JSiU6LiW,
